date,365_nm,404_nm,464_nm,522_nm,624_nm,760_nm,970_nm
29-Apr-24,87.42,92.87,95.67,96.21,97.45,98.20,98.92
27-May-24,86.69,92.19,95.11,95.79,96.90,97.67,98.42
18-Jun-24,89.35,93.24,95.33,95.87,97.02,97.80,98.22
22-Jul-24,88.57,92.57,94.89,95.57,96.49,97.21,97.11
29-Jul-24,88.87,92.81,94.75,96.12,96.55,97.02,97.82
12-Aug-24,88.83,92.68,94.46,95.79,96.21,96.74,96.91
9-Sep-24,88.27,92.37,94.46,95.74,96.34,96.93,97.02
21-Oct-24,85.60,89.38,94.52,96.43,97.24,97.67,97.12
12-Nov-24,84.74,91.80,94.73,96.45,96.86,97.43,97.03
26-Nov-24,84.40,91.35,94.25,96.39,96.60,96.95,96.51
3-Dec-24,84.05,91.74,95.39,97.27,97.24,97.09,96.36
18-Dec-24,84.35,91.64,95.18,97.15,97.03,98.88,95.80
16-Jan-25,84.76,91.52,94.97,97.30,96.76,96.81,96.24
30-Jan-25,84.75,91.76,95.19,97.29,97.03,97.16,96.46
4-Feb-25,84.53,91.43,94.78,97.28,96.46,96.85,96.14
13-Feb-25,84.66,91.28,95.14,97.40,96.83,97.09,96.78
20-Feb-25,85.27,91.80,95.39,97.34,97.17,97.26,96.68
27-Feb-25,84.59,91.54,94.92,97.32,96.75,96.90,96.29
13-Mar-25,84.75,91.32,95.01,97.48,96.79,97.16,97.07
20-Mar-25,86.48,92.45,95.70,97.53,97.23,97.68,97.69
27-Mar-25,86.68,92.57,95.78,97.54,97.30,97.74,97.76
3-Apr-25,85.47,91.68,95.37,97.15,97.20,97.08,95.93
29-Apr-25,85.35,91.19,95.08,96.40,97.07,96.97,95.87
8-May-25,84.85,91.08,94.99,96.55,97.14,96.79,96.52
15-May-25,85.12,91.05,94.81,96.48,97.11,96.35,96.34
20-May-25,85.34,91.30,94.93,96.56,97.12,96.96,96.67
29-May-25,85.47,91.33,94.81,96.58,97.12,97.03,96.76
11-Jun-25,85.31,91.11,94.83,96.50,97.04,96.82,96.33
19-Jun-25,85.29,91.15,95.00,96.57,97.08,96.94,96.55
3-Jul-25,85.13,91.06,94.62,96.52,96.77,96.82,96.28
10-Jul-25,85.39,91.22,95.04,96.54,97.09,96.97,96.45
17-Jul-25,85.52,91.51,95.31,96.41,97.33,97.28,96.17
24-Jul-25,84.87,90.91,94.85,96.53,97.03,96.79,96.37
14-Aug-25,85.35,91.20,95.01,96.43,97.15,96.94,96.09
27-Nov-25,77.41,86.32,90.39,95.82,94.23,95.05,95.68
4-Dec-25,77.10,86.16,90.39,95.53,94.35,94.91,94.67
11-Dec-25,72.36,84.40,91.11,94.38,94.16,94.56,94.12
18-Dec-25,72.40,84.39,91.03,94.50,94.29,94.72,94.80
23-Dec-25,74.78,86.88,93.67,94.77,96.49,96.90,97.35
8-Jan-26,74.26,86.41,93.31,94.58,96.30,96.49,96.26
5-Feb-26,74.37,86.50,93.15,94.46,96.36,96.68,95.90
12-Feb-26,74.48,86.58,93.08,94.73,96.12,96.63,96.90
19-Feb-26,74.12,86.34,92.94,94.55,95.98,96.38,96.14
26-Feb-26,74.12,86.28,92.99,94.54,96.11,96.22,96.10
5-Mar-26,73.67,85.78,92.50,94.49,95.60,95.92,95.62
12-Mar-26,73.28,85.59,92.65,94.48,95.73,95.73,95.58
