index,louver_id,louver_type,full_open_area_m2,azimuth_dome_deg,open_fraction
0,A1,1,13.00,53.1,0.0
1,A2,7,5.04,53.1,0.0
2,B1,1,13.00,67.5,1.0
3,B2,1,13.00,67.5,0.0
4,B3,4,9.03,67.5,0.0
5,C1,1,13.00,95.5,0.0
6,C2,1,13.00,95.5,0.0
7,C3,1,13.00,95.5,0.0
8,D1,2,9.87,120.75,0.0
9,D2,2,9.87,120.75,0.0
10,D3,2,9.87,120.75,0.0
11,E1,2,9.87,120.75,1.0
12,E2,2,9.87,120.75,1.0
13,E3,3,6.59,120.75,0.0
14,F1,8,2.97,180.0,0.0
15,F2,5,11.61,180.0,0.0
16,F3,6,7.21,180.0,0.0
17,G1,8,2.97,180.0,0.0
18,G2,5,11.61,180.0,0.0
19,G3,6,7.21,180.0,0.0
20,H1,2,9.87,239.25,1.0
21,H2,2,9.87,239.25,1.0
22,H3,3,6.59,239.25,0.0
23,I1,2,9.87,239.25,0.0
24,I2,2,9.87,239.25,0.0
25,I3,2,9.87,239.25,0.0
26,L1,1,13.00,264.5,0.0
27,L2,1,13.00,264.5,0.0
28,L3,1,13.00,264.5,0.0
29,M1,1,13.00,292.5,1.0
30,M2,1,13.00,292.5,0.0
31,M3,4,9.03,292.5,0.0
32,N1,1,13.00,306.9,0.0
33,N2,7,5.04,306.9,0.0
