date,365_nm,404_nm,464_nm,522_nm,624_nm,760_nm,970_nm
17-Jul-19,82.77,90.11,93.49,96.03,96.85,97.32,98.40
15-Oct-19,82.07,89.52,93.76,95.29,96.23,96.91,97.69
5-Feb-20,82.03,89.38,93.38,95.75,96.59,97.12,98.25
10-Jun-20,82.08,89.44,93.36,95.68,96.59,97.11,98.95
30-Sep-20,82.03,89.35,93.71,95.39,96.23,96.94,97.93
5-Mar-21,82.17,89.42,93.72,95.55,96.51,97.22,98.27
30-Jun-21,81.79,89.18,93.32,95.40,96.35,96.90,97.93
15-Dec-21,82.00,89.43,93.90,95.00,95.99,96.61,97.64
12-Apr-22,82.74,90.27,93.94,96.49,97.16,97.42,98.54
13-Mar-23,81.78,89.56,93.33,96.56,97.30,97.59,98.75
7-Jul-24,81.64,88.77,93.81,96.41,97.47,97.68,98.01
21-Oct-24,80.14,88.52,95.00,96.44,98.11,97.38,98.16
5-Nov-24,80.52,88.81,95.19,96.38,98.05,97.97,97.90
12-Nov-24,80.49,89.00,95.37,96.43,98.15,98.15,98.11
19-Nov-24,81.02,88.98,95.10,96.47,98.02,98.18,98.27
26-Nov-24,80.78,88.68,93.00,96.30,97.84,97.83,97.36
3-Dec-24,80.02,89.09,94.18,96.23,98.59,97.98,97.55
10-Dec-24,81.19,89.39,94.31,96.23,98.61,96.07,97.51
16-Jan-25,81.67,90.16,94.72,96.36,98.85,98.47,98.29
23-Jan-25,80.86,90.16,94.60,96.34,98.66,98.31,98.09
30-Jan-25,81.52,90.29,94.76,96.34,98.81,98.23,98.00
4-Feb-25,81.28,90.30,94.56,96.30,98.72,98.36,97.90
20-Feb-25,81.90,90.10,94.83,96.32,99.09,98.51,98.21
27-Feb-25,81.59,90.16,94.53,96.34,98.76,98.24,98.06
3-Apr-25,82.73,90.56,95.00,96.25,99.03,98.34,97.82
29-Apr-25,81.51,87.98,94.29,96.25,97.63,97.78,97.27
8-May-25,81.24,87.68,94.23,96.32,97.77,97.62,97.59
15-May-25,80.86,88.09,93.93,96.30,97.46,97.56,97.42
20-May-25,80.83,88.39,93.89,96.32,97.65,97.62,97.73
29-May-25,81.38,89.16,93.85,96.36,97.45,97.68,97.75
11-Jun-25,81.39,89.16,94.11,96.33,97.64,97.62,97.58
19-Jun-25,81.26,89.29,93.89,96.34,96.93,96.54,96.62
3-Jul-25,81.20,89.30,94.06,96.30,97.63,97.58,97.42
10-Jul-25,81.51,89.10,94.09,96.34,97.57,97.74,97.61
17-Jul-25,81.56,89.16,94.20,96.28,97.64,97.70,97.43
27-Nov-25,86.57,93.13,95.55,96.33,97.48,97.84,99.03
4-Dec-25,86.31,92.95,95.13,95.94,97.47,97.77,97.59
11-Dec-25,81.08,91.14,96.09,94.77,97.61,97.60,97.35
18-Dec-25,81.49,91.39,96.12,94.88,97.63,97.84,97.86
8-Jan-26,81.38,91.33,96.20,94.81,97.65,97.68,97.50
5-Feb-26,81.54,91.43,96.25,94.76,97.97,98.00,97.51
19-Feb-26,81.27,91.40,96.27,94.84,97.71,97.37,97.80
26-Feb-26,81.36,91.27,96.33,94.80,97.89,97.69,97.64
5-Mar-26,81.17,91.29,96.15,94.80,97.64,97.71,97.56
12-Mar-26,80.63,91.27,96.44,94.80,97.96,97.67,97.63
